衣衿	→衣襟
衣著	→衣着
义无返顾	→义无反顾
霪雨	→淫雨
赢余	→盈余
影象	→影像
余辉	→余晖
鱼具	→渔具
鱼网	→渔网
预会	→与会
预闻	→与闻
御手	→驭手
豫备	→预备
元来	→原来
元煤	→原煤
源源本本	→原原本本
元元本本	→原原本本
原故	→缘故
原由	→缘由
月蚀	→月食
月芽	→月牙
云豆	→芸豆
杂遝	→杂沓
再接再砺	→再接再厉
斩新	→崭新
展转	→辗转
颤栗	→战栗
帐本	→账本
折衷	→折中
这末	→这么
正经八摆	→正经八百
脂麻	→芝麻
支解	→肢解
枝解	→肢解
直捷了当	→直截了当
直接了当	→直截了当
指手划脚	→指手画脚
赒济	→周济
转游	→转悠
装璜	→装潢
孳孳	→孜孜
孳孳不倦	→孜孜不倦
姿式	→姿势
子细	→仔细
自各儿	→自个儿
左证	→佐证
牴触	→抵触〔草案〕
牴牾	→抵牾〔草案〕
啑血	→喋血〔草案〕
彷彿	→仿佛〔草案〕
髣髴	→仿佛〔草案〕
飞飏	→飞扬〔草案〕
雰围	→氛围〔草案〕
搆陷	→构陷〔草案〕
浩淼	→浩渺〔草案〕
红菓儿	→红果儿〔草案〕
衚衕	→胡同〔草案〕
𫗫口	→糊口〔草案〕
蒺蔾	→蒺藜〔草案〕
傢伙	→家伙〔草案〕
傢具	→家具〔草案〕
傢什	→家什〔草案〕
儌倖	→侥幸〔草案〕
徼倖	→侥幸〔草案〕
侷促	→局促〔草案〕
跼促	→局促〔草案〕
噘嘴	→撅嘴〔草案〕
剋期	→克期〔草案〕
空濛	→空蒙〔草案〕
崑崙	→昆仑〔草案〕
劳働	→劳动〔草案〕
菉豆	→绿豆〔草案〕
马劄	→马扎〔草案〕
矇眬	→蒙眬〔草案〕
濛濛	→蒙蒙〔草案〕
迷濛	→迷蒙〔草案〕
淼茫	→渺茫〔草案〕
飘飏	→飘扬〔草案〕
轻飏	→轻扬〔草案〕
水菓	→水果〔草案〕
蹚地	→趟地〔草案〕
蹚浑水	→趟浑水〔草案〕
蹚水	→趟水〔草案〕
纨袴	→纨绔〔草案〕
桠杈	→丫杈〔草案〕
桠枝	→丫枝〔草案〕
慇懃	→殷勤〔草案〕
劄记	→札记〔草案〕
枝桠	→枝丫〔草案〕
蹠骨	→跖骨〔草案〕
安份守己	→安分守己〔草案〕
暗度陈仓	→暗渡陈仓〔草案〕
把势	→把式〔草案〕
班配	→般配〔草案〕
棒锤	→棒槌〔草案〕
棒棰	→棒槌〔草案〕
暴光	→曝光〔草案〕
报导	→报道〔草案〕
悲忿	→悲愤〔草案〕
背理	→悖理〔草案〕
比画	→比划〔草案〕
笔心	→笔芯〔草案〕
荜路蓝缕	→筚路蓝缕〔草案〕
辨白	→辩白〔草案〕
辩辞	→辩词〔草案〕
波浪鼓	→拨浪鼓〔草案〕
泼浪鼓	→拨浪鼓〔草案〕
部份	→部分〔草案〕
菜子	→菜籽〔草案〕
仓惶	→仓皇〔草案〕
仓黄	→仓皇〔草案〕
仓遑	→仓皇〔草案〕
策画	→策划〔草案〕
常年累月	→长年累月〔草案〕
唱工	→唱功〔草案〕
潮呼呼	→潮乎乎〔草案〕
潮忽忽	→潮乎乎〔草案〕
撤消	→撤销〔草案〕
承上起下	→承上启下〔草案〕
吃里扒外	→吃里爬外〔草案〕
踟躇	→踟蹰〔草案〕
串连	→串联〔草案〕
辞汇	→词汇〔草案〕
词令	→辞令〔草案〕
搭拉	→耷拉〔草案〕
答理	→搭理〔草案〕
哒哒	→嗒嗒〔草案〕
搭裢	→褡裢〔草案〕
搭连	→褡裢〔草案〕
褡连	→褡裢〔草案〕
褡联	→褡裢〔草案〕
打冷颤	→打冷战〔草案〕
大放厥辞	→大放厥词〔草案〕
铛铛	→当当〔草案〕
当做	→当作〔草案〕
捣腾	→倒腾〔草案〕
悼辞	→悼词〔草案〕
得意扬扬	→得意洋洋〔草案〕
灯心	→灯芯〔草案〕
滴里嘟噜	→嘀里嘟噜〔草案〕
掉包	→调包〔草案〕
钉梢	→盯梢〔草案〕
